question_id,question_label,model_id,model_label,n,mean_human_score,mean_model_score,mean_diff_model_minus_human,mae,rmse,exact_match_rate,within_0_5_rate,within_1_rate,pearson_r
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,deepseek-v4-flash,DeepSeek V4 Flash,116,3.189655172413793,3.1810344827586206,-0.008620689655172414,0.0603448275862069,0.24565184222025874,0.9396551724137931,0.9396551724137931,1.0,0.9825720026825955
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,deepseek-v4-pro,DeepSeek V4 Pro,116,3.189655172413793,3.1724137931034484,-0.017241379310344827,0.06896551724137931,0.2626128657194451,0.9310344827586207,0.9310344827586207,1.0,0.9805330489814302
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,openai-mini,OpenAI Mini (low),116,3.189655172413793,3.1206896551724137,-0.06896551724137931,0.1206896551724138,0.3713906763541037,0.8879310344827587,0.8879310344827587,0.9913793103448276,0.9626484349063621
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,openai-mini-medium,OpenAI Mini (medium),116,3.189655172413793,3.206896551724138,0.017241379310344827,0.06896551724137931,0.2626128657194451,0.9310344827586207,0.9310344827586207,1.0,0.9799530217316028
a89c0767-a955-4b8d-927f-d01e3d954cc0,Q14 Explain coherence,deepseek-v4-flash,DeepSeek V4 Flash,118,1.4915254237288136,1.271186440677966,-0.22033898305084745,0.3050847457627119,0.552344770738994,0.6949152542372882,0.6949152542372882,1.0,0.6739806184364558
a89c0767-a955-4b8d-927f-d01e3d954cc0,Q14 Explain coherence,deepseek-v4-pro,DeepSeek V4 Pro,118,1.4915254237288136,1.0423728813559323,-0.4491525423728814,0.5254237288135594,0.685812644277464,0.3135593220338983,0.6864406779661016,0.9491525423728814,0.6087516382729949
a89c0767-a955-4b8d-927f-d01e3d954cc0,Q14 Explain coherence,openai-mini,OpenAI Mini (low),118,1.4915254237288136,1.423728813559322,-0.06779661016949153,0.23728813559322035,0.5042194840896107,0.7711864406779662,0.7711864406779662,0.9915254237288136,0.7093899354497871
a89c0767-a955-4b8d-927f-d01e3d954cc0,Q14 Explain coherence,openai-mini-medium,OpenAI Mini (medium),118,1.4915254237288136,1.5254237288135593,0.03389830508474576,0.1864406779661017,0.4317877695883728,0.8135593220338984,0.8135593220338984,1.0,0.7595080411537869
8bd69984-3cd8-48b1-9da3-4c040620959e,Q17 Adv./Disadv.,deepseek-v4-flash,DeepSeek V4 Flash,119,3.907563025210084,3.5588235294117645,-0.3487394957983193,0.3487394957983193,0.7232629146427176,0.7310924369747899,0.7310924369747899,0.9243697478991597,0.5959392043354319
8bd69984-3cd8-48b1-9da3-4c040620959e,Q17 Adv./Disadv.,deepseek-v4-pro,DeepSeek V4 Pro,119,3.907563025210084,3.638655462184874,-0.2689075630252101,0.2689075630252101,0.6183469424008423,0.7815126050420168,0.8067226890756303,0.9243697478991597,0.6577979341172592
8bd69984-3cd8-48b1-9da3-4c040620959e,Q17 Adv./Disadv.,openai-mini,OpenAI Mini (low),119,3.907563025210084,3.5294117647058822,-0.37815126050420167,0.37815126050420167,0.8147794463647738,0.7563025210084033,0.7563025210084033,0.8739495798319328,0.5557783646493438
8bd69984-3cd8-48b1-9da3-4c040620959e,Q17 Adv./Disadv.,openai-mini-medium,OpenAI Mini (medium),119,3.907563025210084,3.6134453781512605,-0.29411764705882354,0.29411764705882354,0.6798418006783489,0.7899159663865546,0.7899159663865546,0.9159663865546218,0.631870086922669
