question_id,question_order,answer_count,mae_between_models,rmse_between_models,exact_agreement_rate,within_0_5_rate,within_1_rate,pearson_corr,prompt_preview
8c09a796-304f-491d-910b-126c7178a25d,0,110,0.09090909090909091,0.40451991747794525,0.9363636363636364,0.9363636363636364,0.9818181818181818,0.9273628868460776,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
d84cb3ab-a1d9-4f09-9ae9-78c9411ccb46,1,118,0.4279661016949153,0.8117255109239488,0.6779661016949152,0.7033898305084746,0.8813559322033898,0.7501511624954513,Describe the three main types of redundancy used to achieve fault tolerance.
9bdf83bb-ecc7-4de2-b1c0-35a83aa6580e,2,118,0.3474576271186441,0.6311141614207074,0.6779661016949152,0.6779661016949152,0.9745762711864406,0.662078064510443,Identify two major differences between a traditional Multiprocessor (MP) and a Chip-level Multiprocessor (CMP).
b8fea8c6-21b2-4e68-8da7-540504d18b30,3,115,0.43478260869565216,0.7312883211809499,0.6086956521739131,0.6608695652173913,0.8782608695652174,0.6440619906204889,"How does affinity scheduling impact cache misses, TLB misses, and page faults in a multiprocessor system?"
de117ea3-bbad-4bd2-9aff-86840d03ef2d,4,116,0.0603448275862069,0.24565184222025874,0.9396551724137931,0.9396551724137931,1.0,0.9605666587273259,"Define Access Transparency, Location Transparency, and Replication Transparency in distributed systems."
df612ec1-2475-4919-9f33-0fc639c9507a,5,119,0.0,0.0,1.0,1.0,1.0,0.9999999999999999,Compare the number of switches required for a crossbar network versus an Omega network for n CPUs and n memory modules.
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,6,116,0.0603448275862069,0.19695964928958384,0.896551724137931,0.9827586206896551,1.0,0.9892024852502201,List four methods to notify a receiver in a non-blocking message passing system that a message has arrived.
c0681a88-9d0b-4390-a509-4814a70e67fd,7,117,0.5470085470085471,0.7623624998624875,0.4700854700854701,0.4700854700854701,0.9829059829059829,0.7384804165172524,Compare Sender-Initiated (SI-LB) and Receiver-Initiated (RI-LB) Load Balancing algorithms. Which one maintains performan
d8e28def-51f9-4f18-b828-1e458ebf90f2,8,116,0.017241379310344827,0.13130643285972254,0.9827586206896551,0.9827586206896551,1.0,0.956794165699586,"While using the Test-and-Set-Lock (TSL) instruction for mutex locks in MPs may cause system bus contention, please sugge"
37861c97-e01d-4371-a51e-bd04e4cfd84d,9,120,0.0875,0.22821773229381923,0.8416666666666667,0.9833333333333333,1.0,0.9062117135052654,"In multicasting systems, specify the meaning of 0-reliable and M-out-of-N-reliable semantics."
a94192ac-fcd6-4d22-a85f-0650a6e3d742,10,113,0.19469026548672566,0.4412371986661207,0.8053097345132744,0.8053097345132744,1.0,0.8916394307296228,Explain how a channel-based publish/subscribe system can be implemented using group communication.
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,118,0.0423728813559322,0.20584674239815456,0.9576271186440678,0.9576271186440678,1.0,0.9353039072377416,"In an SMP system, under what conditions is it more appropriate to use a spin lock versus a blocking lock?"
f1a002fc-be46-42b5-8f42-958c06c6cd46,12,119,0.01680672268907563,0.12964074471043288,0.9831932773109243,0.9831932773109243,1.0,0.9864913763252243,What are the three basic architectural approaches for Multiprocessor Operating Systems?
9ec3f4b7-57c6-41f8-bdc2-abd8b9614be7,13,119,0.10084033613445378,0.3429971702850177,0.907563025210084,0.907563025210084,0.9915966386554622,0.9418576585152884,List four common failures that may happen during a Remote Procedure Call (RPC).
a89c0767-a955-4b8d-927f-d01e3d954cc0,14,118,0.597457627118644,0.7492934525044922,0.2796610169491525,0.5677966101694916,0.9661016949152542,0.6788255059467971,Explain the Cache Coherence problem and the basic rules a system must follow when a CPU wants to write a cached word.
e74dd4e1-7f62-4da6-b965-e65834bf10fc,15,118,0.05084745762711865,0.22549380840084865,0.9491525423728814,0.9491525423728814,1.0,0.9698920648480992,State three major advantages of the Publish/Subscribe middleware model over Point-to-Point communication.
8edb59fe-821f-4597-a8e4-0bb11146517d,16,118,0.0423728813559322,0.24356115022372735,0.9661016949152542,0.9661016949152542,0.9915254237288136,0.9564238363152255,Demonstrate how a counting semaphore initialized to N can be implemented using the Linda coordination language.
8bd69984-3cd8-48b1-9da3-4c040620959e,17,119,0.12605042016806722,0.35503580124836315,0.8739495798319328,0.8739495798319328,1.0,0.9032177506229946,Provide two advantages and two disadvantages of a Master-Slave architecture for multiprocessors.
e7ffda48-61f1-4aad-8337-1ba266c0c951,18,116,0.13793103448275862,0.3713906763541037,0.8620689655172413,0.8620689655172413,1.0,0.8597425496152594,Why are non-blocking operations less prone to deadlock?
